pref,name,touroku,year,addr,hp,lat,lon
山梨県,なるさわ,第7回,H7.1,南都留郡鳴沢村,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000252.html,35.480152,138.698504
山梨県,みとみ,第12回,H9.4,山梨市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000253.html,35.862552,138.75525
山梨県,しもべ,第12回,H9.4,南巨摩郡身延町,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000254.html,35.469985,138.512894
山梨県,とよとみ,第14回,H10.4,中央市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000255.html,35.58494,138.545212
山梨県,にらさき,第14回,H10.4,韮崎市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000256.html,35.748412,138.43859
山梨県,どうし,第14回,H10.4,南都留郡道志村,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000257.html,35.503387,138.989848
山梨県,かつやま,第14回,H10.4,南都留郡富士河口湖町,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000258.html,35.504346,138.734305
山梨県,花かげの郷まきおか,第15回,H11.8,山梨市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000259.html,35.754462,138.718368
山梨県,はくしゅう,第16回,H12.8,北杜市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000260.html,35.810325,138.330655
山梨県,富士吉田,第18回,H14.8,富士吉田市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000261.html,35.459186,138.80198
山梨県,南きよさと,第18回,H14.8,北杜市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000262.html,35.865738,138.427786
山梨県,しらね,第18回,H14.8,南アルプス市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000263.html,35.638031,138.471159
山梨県,こぶちさわ,第20回,H16.8,北杜市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000264.html,35.878901,138.316714
山梨県,みのぶ,第21回,H17.8,南巨摩郡身延町,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000265.html,,
山梨県,たばやま,第28回,H20.8,北都留郡丹波山村,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000266.html,35.78926,138.923819
山梨県,富士川,第41回,H26.4,南巨摩郡富士川町,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000267.html,35.557015,138.472064
山梨県,こすげ,第41回,H26.4,北都留郡小菅村,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000268.html,35.75396,138.949946
山梨県,つる,第45回,Ｈ28.4,都留市,https://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000269.html,35.582917,138.931227
山梨県,なんぶ,第48回,Ｈ29.9,南巨摩郡南部町,http://www.ktr.mlit.go.jp/road/chiiki/road_chiiki00000270.html,35.306755,138.446941
山梨県,にしじま和紙の里かみすきパーク,第61回,R6.8,南巨摩郡身延町,,,
